source_kind,p,quadruple,product,norm,product_signature,norm_signature,norm_signature_defect,projection_loss,channel_entropy_norm,prime_grid_compression_norm,n,t_good,m_good,local_shrink_time,descended_value,net_descent_margin,bad_run_cost,shrink_efficiency
primvierling,5,"(5, 7, 11, 13)",5005,364,"(1, 1, 1, 1)","(1, 0, 1, 0)",2,2,0.6931471805599453,0.5,,,,,,,,
primvierling,11,"(11, 13, 17, 19)",46189,940,"(1, 1, 1, 1)","(0, 1, 0, 1)",2,2,0.6931471805599453,0.5,,,,,,,,
primvierling,101,"(101, 103, 107, 109)",121330189,44140,"(1, 1, 1, 1)","(0, 1, 0, 1)",2,2,0.6931471805599453,0.5,,,,,,,,
primvierling,191,"(191, 193, 197, 199)",1445140189,152140,"(1, 1, 1, 1)","(0, 1, 0, 1)",2,2,0.6931471805599453,0.5,,,,,,,,
primvierling,821,"(821, 823, 827, 829)",463236778189,2722540,"(1, 1, 1, 1)","(0, 2, 1, 0)",3,2,0.6365141682948128,0.6,,,,,,,,
eabc,,,,,,,,2,0.0,0.0,6,,,,,,,
eabc,,,,,,,,3,0.0,0.0,12,,,,,,,
eabc,,,,,,,,2,0.0,0.3333333333333333,30,,,,,,,
eabc,,,,,,,,3,0.0,0.25,60,,,,,,,
eabc,,,,,,,,2,0.6931471805599453,0.5,210,,,,,,,
collatz,,,,,,,,,,,27,2,41,3,31,-4,2,-1.3333333333333333
collatz,,,,,,,,,,,15,6,53,3,40,-25,6,-3.5714285714285716
