source_kind,source_key,t_loc,norm_signature_defect,projection_loss,channel_entropy,prime_grid_compression,net_descent_margin,bad_run_cost,shrink_efficiency,chirality_norm
primvierling,p=5,,2,2,0.6931471805599453,0.5,,,,
primvierling,p=11,,2,2,0.6931471805599453,0.5,,,,
primvierling,p=101,,2,2,0.6931471805599453,0.5,,,,
eabc,n=6,,,2,0.0,0.0,,,,
eabc,n=12,,,3,0.0,0.0,,,,
eabc,n=30,,,2,0.0,0.3333333333333333,,,,
eabc,n=60,,,3,0.0,0.25,,,,
eabc,n=210,,,2,0.6931471805599453,0.5,,,,
collatz,n=3,4,,,,,1,2,0.3333333333333333,
collatz,n=7,7,,,,,2,4,0.4,
collatz,n=15,5,,,,,5,6,0.7142857142857143,
collatz,n=27,94,,,,,4,2,1.3333333333333333,
collatz,n=31,83,,,,,8,8,0.8888888888888888,
