rank,p,quat_a,quat_b,quat_c,quat_e,quat_norm,n,E,A,B,C,M,partition,product_n,product_E,product_A,product_B,product_C,product_M,product_partition,channel_a,channel_b,channel_c,channel_e,pair_gaps
1,5,5,7,11,13,364,364,1,0,1,0,2,"1,1,0,0",5005,1,1,1,1,4,"1,1,1,1",A,B,C,E,72
2,11,11,13,17,19,940,940,0,1,0,1,2,"1,1,0,0",46189,1,1,1,1,4,"1,1,1,1",C,E,A,B,72
3,101,101,103,107,109,44140,44140,0,1,0,1,2,"1,1,0,0",121330189,1,1,1,1,4,"1,1,1,1",A,B,C,E,72
4,191,191,193,197,199,152140,152140,0,1,0,1,2,"1,1,0,0",1445140189,1,1,1,1,4,"1,1,1,1",C,E,A,B,72
5,821,821,823,827,829,2722540,2722540,0,2,1,0,3,"2,1,0,0",463236778189,1,1,1,1,4,"1,1,1,1",A,B,C,E,72
6,1481,1481,1483,1487,1489,8820940,8820940,0,1,2,1,4,"2,1,1,0",4862973196189,1,1,1,1,4,"1,1,1,1",A,B,C,E,72
7,1871,1871,1873,1877,1879,14062540,14062540,0,1,0,1,2,"1,1,0,0",12359548828189,1,1,1,1,4,"1,1,1,1",C,E,A,B,72
8,2081,2081,2083,2087,2089,17388940,17388940,1,1,0,1,3,"1,1,1,0",18898278256189,1,1,1,1,4,"1,1,1,1",A,B,C,E,72
9,3251,3251,3253,3257,3259,42380140,42380140,1,1,0,1,3,"1,1,1,0",112254342850189,1,1,1,1,4,"1,1,1,1",C,E,A,B,72
10,3461,3461,3463,3467,3469,48024940,48024940,0,2,1,0,3,"2,1,0,0",144149198626189,1,1,1,1,4,"1,1,1,1",A,B,C,E,72
11,5651,5651,5653,5657,5659,127916140,127916140,0,2,1,2,5,"2,2,1,0",1022657400370189,1,1,1,1,4,"1,1,1,1",C,E,A,B,72
12,9431,9431,9433,9437,9439,356076940,356076940,0,1,0,1,2,"1,1,0,0",7924420639216189,1,1,1,1,4,"1,1,1,1",C,E,A,B,72
13,13001,13001,13003,13007,13009,676520140,676520140,1,1,0,1,3,"1,1,1,0",28604961973900189,1,1,1,1,4,"1,1,1,1",A,B,C,E,72
14,15641,15641,15643,15647,15649,979064140,979064140,0,1,0,1,2,"1,1,0,0",59910402098980189,1,1,1,1,4,"1,1,1,1",A,B,C,E,72
15,15731,15731,15733,15737,15739,990360940,990360940,0,1,2,1,4,"2,1,1,0",61300914563746189,1,1,1,1,4,"1,1,1,1",C,E,A,B,72
16,16061,16061,16063,16067,16069,1032336940,1032336940,0,1,0,1,2,"1,1,0,0",66607462032166189,1,1,1,1,4,"1,1,1,1",A,B,C,E,72
17,18041,18041,18043,18047,18049,1302488140,1302488140,0,2,1,0,3,"2,1,0,0",106029696652660189,1,1,1,1,4,"1,1,1,1",A,B,C,E,72
18,18911,18911,18913,18917,18919,1431108940,1431108940,1,1,0,1,3,"1,1,1,0",128004535573156189,1,1,1,1,4,"1,1,1,1",C,E,A,B,72
19,19421,19421,19423,19427,19429,1509322540,1509322540,1,1,0,3,5,"3,1,1,0",142378393016278189,1,1,1,1,4,"1,1,1,1",A,B,C,E,72
20,21011,21011,21013,21017,21019,1766520940,1766520940,0,2,1,0,3,"2,1,0,0",195037246800946189,1,1,1,1,4,"1,1,1,1",C,E,A,B,72
21,22271,22271,22273,22277,22279,1984702540,1984702540,0,1,0,1,2,"1,1,0,0",246190240920628189,1,1,1,1,4,"1,1,1,1",C,E,A,B,72
22,25301,25301,25303,25307,25309,2561372140,2561372140,0,1,2,1,4,"2,1,1,0",410039176859290189,1,1,1,1,4,"1,1,1,1",A,B,C,E,72
23,31721,31721,31723,31727,31729,4025902540,4025902540,0,2,1,2,5,"2,2,1,0",1012993163589628189,1,1,1,1,4,"1,1,1,1",A,B,C,E,72
24,34841,34841,34843,34847,34849,4856696140,4856696140,0,2,1,0,3,"2,1,0,0",1474218538701220189,1,1,1,1,4,"1,1,1,1",A,B,C,E,72
25,43781,43781,43783,43787,43789,7668504940,7668504940,1,1,0,1,3,"1,1,1,0",3675372924240226189,1,1,1,1,4,"1,1,1,1",A,B,C,E,72
26,51341,51341,51343,51347,51349,10545236140,10545236140,0,2,1,0,3,"2,1,0,0",6950125222570270189,1,1,1,1,4,"1,1,1,1",A,B,C,E,72
27,55331,55331,55333,55337,55339,12247848940,12247848940,0,3,0,1,4,"3,1,0,0",9375612606087706189,1,1,1,1,4,"1,1,1,1",C,E,A,B,72
28,62981,62981,62983,62987,62989,15868440940,15868440940,0,1,0,3,4,"3,1,0,0",15737963457957346189,1,1,1,1,4,"1,1,1,1",A,B,C,E,72
29,67211,67211,67213,67217,67219,18071424940,18071424940,0,1,2,1,4,"2,1,1,0",20411024779414126189,1,1,1,1,4,"1,1,1,1",C,E,A,B,72
30,69491,69491,69493,69497,69499,19318220140,19318220140,1,1,0,1,3,"1,1,1,0",23324601642911650189,1,1,1,1,4,"1,1,1,1",C,E,A,B,72
31,72221,72221,72223,72227,72229,20865802540,20865802540,0,1,0,3,4,"3,1,0,0",27211357018733878189,1,1,1,1,4,"1,1,1,1",A,B,C,E,72
32,77261,77261,77263,77267,77269,23879520940,23879520940,0,3,0,1,4,"3,1,0,0",35639469781448446189,1,1,1,1,4,"1,1,1,1",A,B,C,E,72
33,79691,79691,79693,79697,79699,25405172140,25405172140,0,1,0,1,2,"1,1,0,0",40338922962387790189,1,1,1,1,4,"1,1,1,1",C,E,A,B,72
34,81041,81041,81043,81047,81049,26273168140,26273168140,1,1,0,1,3,"1,1,1,0",43142459994312760189,1,1,1,1,4,"1,1,1,1",A,B,C,E,72
35,82721,82721,82723,82727,82729,27373702540,27373702540,0,1,0,3,4,"3,1,0,0",46832474148038128189,1,1,1,1,4,"1,1,1,1",A,B,C,E,72
36,88811,88811,88813,88817,88819,31552416940,31552416940,0,1,0,3,4,"3,1,0,0",62222188106700766189,1,1,1,1,4,"1,1,1,1",C,E,A,B,72
37,97841,97841,97843,97847,97849,38294576140,38294576140,1,1,0,1,3,"1,1,1,0",91654659725945320189,1,1,1,1,4,"1,1,1,1",A,B,C,E,72
38,99131,99131,99133,99137,99139,39310992940,39310992940,1,1,0,1,3,"1,1,1,0",96584634977435686189,1,1,1,1,4,"1,1,1,1",C,E,A,B,72
39,101111,101111,101113,101117,101119,40896972940,40896972940,0,2,1,0,3,"2,1,0,0",104535149319473536189,1,1,1,1,4,"1,1,1,1",C,E,A,B,72
40,109841,109841,109843,109847,109849,48263696140,48263696140,2,1,0,1,4,"2,1,1,0",145586522335753720189,1,1,1,1,4,"1,1,1,1",A,B,C,E,72
41,116531,116531,116533,116537,116539,54321624940,54321624940,1,1,0,3,5,"3,1,1,0",184427432964410626189,1,1,1,1,4,"1,1,1,1",C,E,A,B,72
42,119291,119291,119293,119297,119299,56925188140,56925188140,0,1,0,3,4,"3,1,0,0",202529814729147910189,1,1,1,1,4,"1,1,1,1",C,E,A,B,72
43,122201,122201,122203,122207,122209,59736248140,59736248140,0,2,1,2,5,"2,2,1,0",223026208267865860189,1,1,1,1,4,"1,1,1,1",A,B,C,E,72
44,135461,135461,135463,135467,135469,73403064940,73403064940,2,1,0,1,4,"2,1,1,0",336750620677585426189,1,1,1,1,4,"1,1,1,1",A,B,C,E,72
45,144161,144161,144163,144167,144169,83134188940,83134188940,1,1,0,1,3,"1,1,1,0",431955834838134256189,1,1,1,1,4,"1,1,1,1",A,B,C,E,72
46,157271,157271,157273,157277,157279,98941702540,98941702540,0,1,0,1,2,"1,1,0,0",611841280355198128189,1,1,1,1,4,"1,1,1,1",C,E,A,B,72
47,165701,165701,165703,165707,165709,109832588140,109832588140,0,1,0,3,4,"3,1,0,0",753949837497353410189,1,1,1,1,4,"1,1,1,1",A,B,C,E,72
48,166841,166841,166843,166847,166849,111349016140,111349016140,0,1,2,1,4,"2,1,1,0",774912711095633620189,1,1,1,1,4,"1,1,1,1",A,B,C,E,72
49,171161,171161,171163,171167,171169,117189828940,117189828940,1,1,0,1,3,"1,1,1,0",858340999264755556189,1,1,1,1,4,"1,1,1,1",A,B,C,E,72
50,187631,187631,187633,187637,187639,140827572940,140827572940,2,2,1,0,5,"2,2,1,0",1239525329852413036189,1,1,1,1,4,"1,1,1,1",C,E,A,B,72
