n,sep,overlap_count,overlap_metric,epsilon_n,epsilon_rule_name,metric_name,shell_separation_loss,embedding_quality,data_source
1,1.4142135623730951,0,0.0,0.25,theorematic_mn_sep_v1,euclidean_l2_r3,False,5.656854249492381,canonical_from_qec_bridge
2,1.4142135623730951,0,0.0,0.0625,theorematic_mn_sep_v1,euclidean_l2_r3,False,22.627416997969522,canonical_from_qec_bridge
3,1.4142135623730951,0,0.0,0.015625,theorematic_mn_sep_v1,euclidean_l2_r3,False,90.50966799187809,canonical_from_qec_bridge
4,1.4142135623730951,0,0.0,0.00390625,theorematic_mn_sep_v1,euclidean_l2_r3,False,362.03867196751236,canonical_from_qec_bridge
5,1.4142135623730951,0,0.0,0.0009765625,theorematic_mn_sep_v1,euclidean_l2_r3,False,1448.1546878700494,canonical_from_qec_bridge
6,1.0,0,0.0,0.000244140625,theorematic_mn_sep_v1,euclidean_l2_r3,False,4096.0,canonical_from_qec_bridge
7,1.0,0,0.0,6.103515625e-05,theorematic_mn_sep_v1,euclidean_l2_r3,False,16384.0,canonical_from_qec_bridge
8,1.0,0,0.0,1.52587890625e-05,theorematic_mn_sep_v1,euclidean_l2_r3,False,65536.0,canonical_from_qec_bridge
9,1.0,0,0.0,3.814697265625e-06,theorematic_mn_sep_v1,euclidean_l2_r3,False,262144.0,canonical_from_qec_bridge
10,1.0,0,0.0,9.5367431640625e-07,theorematic_mn_sep_v1,euclidean_l2_r3,False,1048576.0,canonical_from_qec_bridge
11,1.0,0,0.0,2.384185791015625e-07,theorematic_mn_sep_v1,euclidean_l2_r3,False,4194304.0,canonical_from_qec_bridge
12,1.0,0,0.0,5.960464477539063e-08,theorematic_mn_sep_v1,euclidean_l2_r3,False,16777216.0,canonical_from_qec_bridge
13,1.0,0,0.0,1.4901161193847656e-08,theorematic_mn_sep_v1,euclidean_l2_r3,False,67108864.0,canonical_from_qec_bridge
14,1.0,0,0.0,3.725290298461914e-09,theorematic_mn_sep_v1,euclidean_l2_r3,False,268435456.0,canonical_from_qec_bridge
15,1.0,0,0.0,9.313225746154785e-10,theorematic_mn_sep_v1,euclidean_l2_r3,False,1073741824.0,canonical_from_qec_bridge
16,1.0,0,0.0,2.3283064365386963e-10,theorematic_mn_sep_v1,euclidean_l2_r3,False,4294967296.0,canonical_from_qec_bridge
17,1.0,0,0.0,5.820766091346741e-11,theorematic_mn_sep_v1,euclidean_l2_r3,False,17179869184.0,canonical_from_qec_bridge
