feature,mode,observed_pearson,null_pearson_mean,null_pearson_std,z_score,trials
eabc_mass,permute_R,-0.25060811612582595,-0.006930348906674186,0.21857226638106791,-1.114861328263458,200
eabc_mass,shuffle_channel,-0.25060811612582595,-0.030484843434134126,0.23456290888769304,-0.9384402407675,200
eabc_mass,variance_match,-0.25060811612582595,0.0005956641406268154,0.21780119904747738,-1.1533627058301645,200
eabc_spread,permute_R,-0.15700697856293347,-0.0009340180687652724,0.236596221979021,-0.6596595634059076,200
eabc_spread,shuffle_channel,-0.15700697856293347,-0.006928908709267779,0.2210819681659943,-0.6788345114649199,200
eabc_spread,variance_match,-0.15700697856293347,0.013037586652108605,0.22626713409340984,-0.7515212754886558,200
chiral_norm,permute_R,0.009860853340966827,0.0008639175222210489,0.22751631673652148,0.03954413445065045,200
chiral_norm,shuffle_channel,0.009860853340966827,-0.00450633766291367,0.20103708495264616,0.07146537668542427,200
chiral_norm,variance_match,0.009860853340966827,0.007404522232449028,0.2176590145493503,0.011285225716947596,200
proton_eabc_mass,permute_R,-0.4257478428856037,-0.0069413502761834014,0.23699442382145983,-1.7671575805721442,200
proton_eabc_mass,shuffle_channel,-0.4257478428856037,-0.015526144011557736,0.21566609937240563,-1.9021148899516547,200
proton_eabc_mass,variance_match,-0.4257478428856037,0.0035731725587810053,0.2192311434897236,-1.9583030431281263,200
channel_e,permute_R,-0.09140528853745795,0.016972438457704474,0.20681489746012768,-0.5240324963343457,200
channel_e,shuffle_channel,-0.09140528853745795,0.010134406571500568,0.21039577403441415,-0.4826128071011056,200
channel_e,variance_match,-0.09140528853745795,-0.00555459096067788,0.20797557828364724,-0.41279220514868675,200
channel_a,permute_R,-0.288264855843827,0.024777399603846048,0.23145910337006,-1.3524732917813855,200
channel_a,shuffle_channel,-0.288264855843827,0.007099918181257921,0.2391321027451919,-1.2351531669497842,200
channel_a,variance_match,-0.288264855843827,-0.01077408939678727,0.2174367029852406,-1.276191013924064,200
channel_b,permute_R,0.004507830516149798,0.01337808822302529,0.2322445938354547,-0.0381936025307873,200
channel_b,shuffle_channel,0.004507830516149798,0.0015374523615745766,0.22480677587422257,0.013213027690220166,200
channel_b,variance_match,0.004507830516149798,-0.02409772755921884,0.22458504871631696,0.12737071429675423,200
channel_c,permute_R,,0.0,0.0,,200
channel_c,shuffle_channel,,0.0,0.0,,200
channel_c,variance_match,,0.0,0.0,,200
