label,a,z,b_exp_mev,b_smooth_mev,residual_mev,residual_per_nucleon_mev,log_a,eabc_mass,eabc_spread,chiral_norm
He-4,4,2,28.296,23.94999533304552,4.346004666954478,1.0865011667386195,1.3862943611198906,0,0,0.0
Li-6,6,3,31.998,29.280578432495254,2.717421567504747,0.4529035945841245,1.791759469228055,0,0,0.0
Li-7,7,3,39.245,40.3693921674077,-1.1243921674077058,-0.16062745248681512,1.9459101490553132,1,1,1.4142135623730951
Be-9,9,4,58.165,58.904426124140144,-0.7394261241401452,-0.08215845823779391,2.1972245773362196,0,0,0.0
C-12,12,6,92.162,90.79248423976534,1.3695157602346626,0.11412631335288854,2.4849066497880004,0,0,0.0
N-14,14,7,104.659,102.47102136766935,2.1879786323306547,0.15628418802361818,2.6390573296152584,1,1,1.4142135623730951
O-16,16,8,127.619,127.15535449215625,0.4636455078437507,0.02897784424023442,2.772588722239781,0,0,0.0
Ne-20,20,10,160.644,163.95425167283193,-3.3102516728319245,-0.1655125836415962,2.995732273553991,1,1,1.4142135623730951
Mg-24,24,12,189.984,200.81715469179662,-10.833154691796608,-0.4513814454915253,3.1780538303479458,0,0,0.0
Si-28,28,14,231.627,237.53673165856677,-5.909731658566756,-0.2110618449488127,3.332204510175204,1,1,1.4142135623730951
Ca-40,40,20,341.523,345.77298096037276,-4.2499809603727385,-0.10624952400931846,3.6888794541139363,1,1,1.4142135623730951
Ti-48,48,22,416.001,425.18282151628483,-9.181821516284856,-0.1912879482559345,3.871201010907891,0,0,0.0
Fe-56,56,26,492.254,496.37177098241654,-4.117770982416516,-0.07353162468600923,4.02535169073515,1,1,1.4142135623730951
Ni-58,58,28,508.449,508.934475784028,-0.4854757840279831,-0.008370272138413501,4.060443010546419,1,1,1.4142135623730951
Zn-64,64,30,545.39,565.1100000000001,-19.72000000000014,-0.3081250000000022,4.1588830833596715,0,0,0.0
Zr-90,90,40,783.916,788.5203834972058,-4.604383497205731,-0.051159816635619235,4.499809670330265,1,1,1.4142135623730951
Sn-120,120,50,1020.533,1027.2545283072816,-6.721528307281574,-0.056012735894013115,4.787491742782046,1,1,1.4142135623730951
Ce-140,140,60,1171.89,1175.8611158057158,-3.9711158057157263,-0.028365112897969474,4.941642422609304,2,1,0.0
Hf-180,180,74,1435.014,1456.8863668296108,-21.872366829610883,-0.12151314905339379,5.19295685089021,1,1,1.4142135623730951
Pb-208,208,82,1630.468,1638.8047800249358,-8.336780024935706,-0.04008067319680628,5.337538079701318,1,1,1.4142135623730951
U-238,238,92,1801.693,1820.7898068663126,-19.09680686631259,-0.08023868431223778,5.472270673671475,2,1,0.0
