kappa,p_value,odds_ratio,in_1g,out_1g,in_2g,out_2g
0.1,1.0,,52,0,248,0
0.2,1.0,,52,0,248,0
0.3,0.9999999925484548,6.321212121212121,42,10,99,149
0.4,0.9999999999997878,10.122507122507123,34,18,39,209
0.5,0.9999999998726157,9.558983666061707,23,29,19,229
0.6,0.9999997783086784,7.428571428571429,16,36,14,234
0.7,0.9999905659375549,6.463636363636364,12,40,11,237
0.8,0.9999987213545616,11.571428571428571,10,42,5,243
0.9,0.999996039549251,19.133333333333333,7,45,2,246
1.0,0.9998718377317044,13.085106382978724,5,47,2,246
1.1,1.0,inf,2,50,0,248
1.2,1.0,inf,1,51,0,248
1.3,1.0,inf,1,51,0,248
1.4,1.0,inf,1,51,0,248
1.5,1.0,inf,1,51,0,248
1.6,1.0,inf,1,51,0,248
1.7,1.0,,0,52,0,248
1.8,1.0,,0,52,0,248
1.9,1.0,,0,52,0,248
2.0,1.0,,0,52,0,248
2.1,1.0,,0,52,0,248
2.2,1.0,,0,52,0,248
2.3,1.0,,0,52,0,248
2.4,1.0,,0,52,0,248
2.5,1.0,,0,52,0,248
2.6,1.0,,0,52,0,248
2.7,1.0,,0,52,0,248
2.8,1.0,,0,52,0,248
2.9,1.0,,0,52,0,248
3.0,1.0,,0,52,0,248
3.1,1.0,,0,52,0,248
3.2,1.0,,0,52,0,248
3.3,1.0,,0,52,0,248
3.4,1.0,,0,52,0,248
3.5,1.0,,0,52,0,248
3.6,1.0,,0,52,0,248
3.7,1.0,,0,52,0,248
3.8,1.0,,0,52,0,248
3.9,1.0,,0,52,0,248
4.0,1.0,,0,52,0,248
4.1,1.0,,0,52,0,248
4.2,1.0,,0,52,0,248
4.3,1.0,,0,52,0,248
4.4,1.0,,0,52,0,248
4.5,1.0,,0,52,0,248
4.6,1.0,,0,52,0,248
4.7,1.0,,0,52,0,248
4.8,1.0,,0,52,0,248
4.9,1.0,,0,52,0,248
5.0,1.0,,0,52,0,248
5.1,1.0,,0,52,0,248
5.2,1.0,,0,52,0,248
5.3,1.0,,0,52,0,248
5.4,1.0,,0,52,0,248
5.5,1.0,,0,52,0,248
5.6,1.0,,0,52,0,248
5.7,1.0,,0,52,0,248
5.8,1.0,,0,52,0,248
5.9,1.0,,0,52,0,248
6.0,1.0,,0,52,0,248
6.1,1.0,,0,52,0,248
6.2,1.0,,0,52,0,248
6.3,1.0,,0,52,0,248
6.4,1.0,,0,52,0,248
6.5,1.0,,0,52,0,248
6.6,1.0,,0,52,0,248
6.7,1.0,,0,52,0,248
6.8,1.0,,0,52,0,248
6.9,1.0,,0,52,0,248
7.0,1.0,,0,52,0,248
7.1,1.0,,0,52,0,248
7.2,1.0,,0,52,0,248
7.3,1.0,,0,52,0,248
7.4,1.0,,0,52,0,248
7.5,1.0,,0,52,0,248
7.6,1.0,,0,52,0,248
7.7,1.0,,0,52,0,248
7.8,1.0,,0,52,0,248
7.9,1.0,,0,52,0,248
8.0,1.0,,0,52,0,248
8.1,1.0,,0,52,0,248
8.2,1.0,,0,52,0,248
8.3,1.0,,0,52,0,248
8.4,1.0,,0,52,0,248
8.5,1.0,,0,52,0,248
8.6,1.0,,0,52,0,248
8.7,1.0,,0,52,0,248
8.8,1.0,,0,52,0,248
8.9,1.0,,0,52,0,248
9.0,1.0,,0,52,0,248
9.1,1.0,,0,52,0,248
9.2,1.0,,0,52,0,248
9.3,1.0,,0,52,0,248
9.4,1.0,,0,52,0,248
9.5,1.0,,0,52,0,248
9.6,1.0,,0,52,0,248
9.7,1.0,,0,52,0,248
9.8,1.0,,0,52,0,248
9.9,1.0,,0,52,0,248
10.0,1.0,,0,52,0,248
